Date,MEDCPIM158SFRBCLE,CPIAUCSL,CPIFABSL,CPIAPPSL,CPIMEDSL,CPIHOSSL,CPITRNSL,CPIEDUSL,CPIRECSL,CPIOGSSL,Date
2013Q2,78.16152233578,124.23570283271,128.26854358419,105.47757475083,138.42936378467,121.11028236548,133.94278606965,121.81042228212,106.00460405157,132.3349851338,2013-06-30
2013Q3,81.632472262312,124.82308925708,128.56740660531,105.71511627907,139.73572593801,121.65903036761,134.8868159204,122.37466307278,106.17403314917,132.95540138751,2013-09-30
2013Q4,104.03166042294,125.45109567076,128.92961559285,106.7915282392,139.844045677,122.33510921684,136.01679104478,122.95058400719,106.25138121547,133.43409316155,2013-12-31
2014Q1,104.55581860298,126.15072153928,130.07038440715,105.84634551495,141.01500815661,123.66489078316,135.25559701493,123.23539982031,106.3591160221,134.42418235877,2014-03-31
2014Q2,47.957992734274,126.79369321219,131.21007038441,106.29734219269,141.98597063622,124.19659030368,135.97823383085,123.6846361186,106.56629834254,134.79947142385,2014-06-30
2014Q3,70.78003873392,126.9251737039,132.18624796968,106.15697674419,142.60717781403,124.79168886521,133.96144278607,124.02336028751,106.27532228361,135.11760819293,2014-09-30
2014Q4,87.163263184238,126.27044361304,133.10232809962,105.18023255814,144.0339314845,125.42621204049,126.94278606965,123.41778975741,106.28545119705,135.59398744632,2014-12-31
2015Q1,88.989683582717,126.12292891502,133.01840822956,105.17109634552,144.51647634584,126.05327650506,123.8302238806,123.66936208446,106.40055248619,136.28675256029,2015-03-31
2015Q2,108.70381431647,127.02137894174,133.4656199242,104.24418604651,145.62153344209,126.6936600959,126.77860696517,123.79964061096,106.91896869245,137.09844730757,2015-06-30
2015Q3,109.65525181161,126.93639764832,134.26312939903,104.66029900332,146.0515497553,127.45657964838,122.6131840796,124.60107816712,106.96593001842,137.5417905517,2015-09-30
2015Q4,67.09765119646,127.07696419027,134.14239306984,104.68604651163,147.71027732463,127.98295151838,121.09950248756,125.12848158131,106.96408839779,138.12421539478,2015-12-31
2016Q1,81.261070635834,127.24746125067,134.10882512182,104.5207641196,149.33866231648,128.70911028237,119.14365671642,125.23989218329,107.49815837937,138.96002642881,2016-03-31
2016Q2,76.923226878447,128.39230358097,133.95776935571,104.8803986711,150.7634584013,129.73628129995,122.6592039801,125.06469002695,108.10128913444,139.71423851999,2016-06-30
2016Q3,91.366561678496,128.90219134153,134.0162425555,104.57973421927,153.28417618271,130.92967501332,121.74253731343,124.72327044025,107.82044198895,140.56623719855,2016-09-30
2016Q4,74.545911969122,129.68305718867,134.01732539253,104.80481727575,153.52006525286,131.88225892381,123.84701492537,124.83737646002,107.69337016575,141.11628675256,2016-12-31
2017Q1,53.577347684089,130.28647781935,134.77314564158,105.15448504983,154.5383360522,132.69099627064,124.75124378109,122.53189577718,108.86556169429,141.50512058143,2017-03-31
2017Q2,66.691006207116,130.52805986104,135.10449377369,104.33222591362,154.7911908646,133.68193926478,123.36007462687,121.99730458221,109.03867403315,143.08589362405,2017-06-30
2017Q3,103.36569575285,131.77498663816,135.72171088251,104.32225913621,155.6779771615,134.59989344699,127.46144278607,122.04582210243,109.56261510129,143.39511067063,2017-09-30
2017Q4,108.09481923838,132.40833778728,136.15538711424,103.1303986711,156.21500815661,135.61747469366,128.14800995025,122.67475292004,109.26611418048,143.98116947473,2017-12-31
