,actual_values,predicted
2016-11,0.31,0.3636035632479926
2016-12,0.55,0.3899020540715086
2017-01,0.56,0.7130825031528222
2017-02,0.57,0.6554912709279577
2017-03,0.82,0.6724689837188982
2017-04,0.83,0.8940635752920078
2017-05,0.83,0.9176305481520731
2017-06,1.06,0.9746688934596659
2017-07,1.07,1.205860544829117
2017-08,1.07,1.1858939293225397
2017-09,1.06,1.1947475921771697
2017-10,1.07,1.1230611947927898
2017-11,1.07,1.1699767202905273
2017-12,1.33,1.2003339249980813
2018-01,1.34,1.4285154514194525
2018-02,1.35,1.3996811749124283
2018-03,1.67,1.4386982502048054
2018-04,1.69,1.7393561190150941
2018-05,1.7,1.7188956743331496
2018-06,1.91,1.788501671605355
2018-07,1.91,1.9894783524395327
2018-08,1.91,1.9488075684584274
2018-09,2.18,1.9450922544876947
2018-10,2.2,2.2582215677880404
2018-11,2.2,2.205566148804201
2018-12,2.4,2.2019180628570534
2019-01,2.4,2.36421778488457
2019-02,2.4,2.392446418331513
2019-03,2.43,2.3731606753960817
2019-04,2.45,2.387533719762331
2019-05,2.4,2.4491984525592967
2019-06,2.4,2.393331226781074
2019-07,2.4,2.396402313657413
